speaker,child_name_norm,tpr_unrestricted
child,anne,0.168
child,aran,0.26059850374064836
child,becky,0.19406392694063926
child,carl,0.26043956043956046
child,dominic,0.22093023255813954
child,gail,0.24107142857142858
child,joel,0.14501510574018128
child,john,0.30655391120507397
child,liz,0.16621983914209115
child,nicole,0.21367521367521367
child,ruth,0.2724014336917563
child,warrenen,0.26150121065375304
mother,anne,0.1582952815829528
mother,aran,0.1519925857275255
mother,becky,0.19708029197080293
mother,carl,0.20798514391829154
mother,dominic,0.26063829787234044
mother,gail,0.19230769230769232
mother,joel,0.13258426966292136
mother,john,0.27566539923954375
mother,liz,0.1926829268292683
mother,nicole,0.17857142857142858
mother,ruth,0.1827956989247312
mother,warrenen,0.2648305084745763
other_adult,adam,0.3142857142857143
other_adult,alex,0.2077922077922078
other_adult,anne,0.20408163265306123
other_adult,aran,0.17647058823529413
other_adult,becky,0.12244897959183673
other_adult,carl,0.25
other_adult,ethan,0.3
other_adult,joel,0.2426470588235294
other_adult,john,0.24489795918367346
other_adult,lara,0.14545454545454545
other_adult,lily,0.21739130434782608
other_adult,naima,0.1990521327014218
other_adult,nina,0.31868131868131866
other_adult,peter,0.20238095238095238
other_adult,ruth,0.19444444444444445
other_adult,warren,0.3076923076923077
other_adult,william,0.2753623188405797
